ukprn,year,measure,group,number,provider
10007783,2014/15,total,All,14035,The University of Aberdeen
10019746,2014/15,total,All,110,ABI College Limited
10007849,2014/15,total,All,4220,Abertay University
10007856,2014/15,total,All,9835,Aberystwyth University
10000080,2014/15,total,All,70,Access to Music Limited
10000248,2014/15,total,All,195,Academy of Live and Recorded Arts
10000291,2014/15,total,All,19830,Anglia Ruskin University
10000381,2014/15,total,All,245,Arts Educational Schools
10007759,2014/15,total,All,11070,Aston University
10007857,2014/15,total,All,10765,Bangor University
10000571,2014/15,total,All,7380,Bath Spa University
10007850,2014/15,total,All,15570,The University of Bath
10007152,2014/15,total,All,15655,University of Bedfordshire
10005343,2014/15,total,All,23855,Queen's University Belfast
10037544,2014/15,total,All,2225,BIMM University
10007760,2014/15,total,All,13935,Birkbeck College
10007140,2014/15,total,All,23335,Birmingham City University
10006840,2014/15,total,All,34160,The University of Birmingham
10000712,2014/15,total,All,4855,University College Birmingham
10007832,2014/15,total,All,2725,Birmingham Newman University
10004061,2014/15,total,All,940,Bloomsbury Institute
10000385,2014/15,total,All,2955,The Arts University Bournemouth
10000824,2014/15,total,All,18225,Bournemouth University
10031982,2014/15,total,All,4835,BPP University
10007785,2014/15,total,All,11520,The University of Bradford
10000886,2014/15,total,All,20685,The University of Brighton
10007786,2014/15,total,All,21555,The University of Bristol
10028216,2014/15,total,All,535,Brit College
10000961,2014/15,total,All,13720,Brunel University London
10000975,2014/15,total,All,9035,Buckinghamshire New University
10007787,2014/15,total,All,2245,The University of Buckingham
10022021,2014/15,total,All,1705,UK College of Business and Computing
10019368,2014/15,total,All,510,London College of Business Studies
10007788,2014/15,total,All,19515,The University of Cambridge
10003324,2014/15,total,All,300,The Institute of Cancer Research
10001143,2014/15,total,All,16020,Canterbury Christ Church University
10007814,2014/15,total,All,30480,Cardiff University
10007854,2014/15,total,All,13670,Cardiff Metropolitan University
10007848,2014/15,total,All,15130,University of Chester
10007137,2014/15,total,All,5445,The University of Chichester
10001386,2014/15,total,All,75,Chicken Shed Theatre Company
10001546,2014/15,total,All,210,The College of Integrated Chinese Medicine
10010213,2014/15,total,All,260,The City College
10001478,2014/15,total,All,18280,"City St George's, University of London"
10013357,2014/15,total,All,765,The Academy of Contemporary Music
10001653,2014/15,total,All,1260,Conservatoire for Dance and Drama
10007761,2014/15,total,All,470,Courtauld Institute of Art
10001726,2014/15,total,All,27600,Coventry University
10007822,2014/15,total,All,4150,Cranfield University
10006427,2014/15,total,All,4805,University for the Creative Arts
10007842,2014/15,total,All,9065,University of Cumbria
10001883,2014/15,total,All,19650,De Montfort University
10007851,2014/15,total,All,15935,University of Derby
10007852,2014/15,total,All,15180,The University of Dundee
10007143,2014/15,total,All,17595,University of Durham
10007789,2014/15,total,All,16165,The University of East Anglia
10007144,2014/15,total,All,15855,The University of East London
10007823,2014/15,total,All,16170,Edge Hill University
10007772,2014/15,total,All,13125,Edinburgh Napier University
10007790,2014/15,total,All,28880,The University of Edinburgh
10022047,2014/15,total,All,120,Empire College London Limited
10042570,2014/15,total,All,155,Escape Studios
10007791,2014/15,total,All,14435,The University of Essex
10002113,2014/15,total,All,485,East End Computing and Business College Limited
10008229,2014/15,total,All,585,EThames Graduate School Limited
10007792,2014/15,total,All,20555,The University of Exeter
10008640,2014/15,total,All,4280,Falmouth University
10033187,2014/15,total,All,585,Fairfield School of Business Ltd
10045476,2014/15,total,All,145,Met Film School Limited
10004511,2014/15,total,All,225,The National Film and Television School
10038763,2014/15,total,All,155,ForMission Ltd
10022087,2014/15,total,All,180,Futureworks
10007762,2014/15,total,All,16930,Glasgow Caledonian University
10002681,2014/15,total,All,1840,Glasgow School of Art
10007794,2014/15,total,All,26815,The University of Glasgow
10007145,2014/15,total,All,7855,University of Gloucestershire
10002718,2014/15,total,All,8165,Goldsmiths College
10002735,2014/15,total,All,975,Grafton College
10006841,2014/15,total,All,6385,University of Greater Manchester
10007146,2014/15,total,All,21295,The University of Greenwich
10007937,2014/15,total,All,7215,GSM London
10007825,2014/15,total,All,905,Guildhall School of Music and Drama
10040812,2014/15,total,All,5045,Harper Adams University
10007764,2014/15,total,All,10705,Heriot-Watt University
10007147,2014/15,total,All,24880,University of Hertfordshire
10007765,2014/15,total,All,700,Heythrop College
10042194,2014/15,total,All,425,Holborn College Limited
10007148,2014/15,total,All,19620,The University of Huddersfield
10007149,2014/15,total,All,17010,The University of Hull
10003239,2014/15,total,All,1465,ICON College of Technology and Management
10003270,2014/15,total,All,16610,"Imperial College of Science, Technology and Medicine"
10007766,2014/15,total,All,5670,Institute of Education
10035638,2014/15,total,All,725,Institute of Contemporary Music Performance
10007767,2014/15,total,All,9635,Keele University
10003566,2014/15,total,All,270,Kensington College of Business
10007150,2014/15,total,All,18985,The University of Kent
10003645,2014/15,total,All,28720,King's College London
10003678,2014/15,total,All,21915,Kingston University
10007141,2014/15,total,All,25655,University of Lancashire
10007768,2014/15,total,All,12965,The University of Lancaster
10003854,2014/15,total,All,1170,Leeds Arts University
10003861,2014/15,total,All,26025,Leeds Beckett University
10007795,2014/15,total,All,31030,The University of Leeds
10003863,2014/15,total,All,3505,Leeds Trinity University
10007796,2014/15,total,All,17995,The University of Leicester
10007151,2014/15,total,All,13265,The University of Lincoln
10007811,2014/15,total,All,2290,Lincoln Bishop University
10003956,2014/15,total,All,5550,Liverpool Hope University
10003957,2014/15,total,All,20635,Liverpool John Moores University
10003945,2014/15,total,All,715,The Liverpool Institute for Performing Arts
10006842,2014/15,total,All,22715,The University of Liverpool
10007162,2014/15,total,All,17775,"University of the Arts, London"
10004060,2014/15,total,All,2810,London School of Business and Finance (UK) Limited
10013109,2014/15,total,All,115,London Bridge Business Academy
10007769,2014/15,total,All,1790,London Business School
10030391,2014/15,total,All,765,London Churchill College Ltd
10018361,2014/15,total,All,825,City of London College
10007797,2014/15,total,All,235,University of London (Institutes and activities)
10004006,2014/15,total,All,235,London Centre of Contemporary Music
10015506,2014/15,total,All,800,The London College
10004048,2014/15,total,All,14100,London Metropolitan University
10032594,2014/15,total,All,80,London School of Academics Ltd
10004078,2014/15,total,All,17735,London South Bank University
10004063,2014/15,total,All,10600,London School of Economics and Political Science
10007771,2014/15,total,All,1245,London School of Hygiene and Tropical Medicine
10022285,2014/15,total,All,130,London School of Management Education
10004075,2014/15,total,All,195,London School of Theology
10004079,2014/15,total,All,320,London Studio Centre
10000939,2014/15,total,All,345,West London College
10008289,2014/15,total,All,1025,The London Institute of Banking & Finance
10004113,2014/15,total,All,15590,Loughborough University
10004180,2014/15,total,All,31355,The Manchester Metropolitan University
10007798,2014/15,total,All,38590,The University of Manchester
10020416,2014/15,total,All,105,Missio Dei
10030776,2014/15,total,All,265,St Mellitus College
10004351,2014/15,total,All,17480,Middlesex University
10004450,2014/15,total,All,300,Mountview Academy of Theatre Arts
10023777,2014/15,total,All,655,Mont Rose College of Management and Sciences Limited
10023454,2014/15,total,All,195,Moorlands College
10004538,2014/15,total,All,65,Nazarene Theological College
10030129,2014/15,total,All,1005,Nelson College London Ltd
10007799,2014/15,total,All,23110,Newcastle University
10008397,2014/15,total,All,135,Norland College
10007138,2014/15,total,All,13285,The University of Northampton
10004740,2014/15,total,All,95,Northern College of Acupuncture
10001282,2014/15,total,All,27075,University of Northumbria at Newcastle
10004775,2014/15,total,All,1875,Norwich University of the Arts
10007154,2014/15,total,All,31910,University of Nottingham
10004797,2014/15,total,All,26890,The Nottingham Trent University
10007773,2014/15,total,All,132360,The Open University
10004930,2014/15,total,All,17460,Oxford Brookes University
10007774,2014/15,total,All,26005,The University of Oxford
10006243,2014/15,total,All,3775,St Patrick's International College
10005127,2014/15,total,All,995,Arts University Plymouth
10007801,2014/15,total,All,25895,University of Plymouth
10007155,2014/15,total,All,21625,The University of Portsmouth
10005337,2014/15,total,All,5270,"Queen Margaret University, Edinburgh"
10007775,2014/15,total,All,15960,Queen Mary University of London
10005544,2014/15,total,All,125,Royal Academy of Dance
10005389,2014/15,total,All,2055,Ravensbourne University London
10005470,2014/15,total,All,840,"Richmond, The American International University in London"
10007802,2014/15,total,All,14325,The University of Reading
10003331,2014/15,total,All,2100,Regent's University London
10021100,2014/15,total,All,165,Regents Theological College
10008455,2014/15,total,All,595,Regent College London
10005500,2014/15,total,All,13240,Robert Gordon University
10007776,2014/15,total,All,7650,Roehampton University
10005523,2014/15,total,All,790,Rose Bruford College of Theatre and Performance
10007835,2014/15,total,All,775,Royal Academy of Music
10005545,2014/15,total,All,1185,Royal Agricultural University
10007777,2014/15,total,All,1445,Royal College of Art
10007778,2014/15,total,All,810,Royal College of Music
10005561,2014/15,total,All,985,Royal Conservatoire of Scotland
10007816,2014/15,total,All,995,The Royal Central School of Speech and Drama
10005553,2014/15,total,All,9915,Royal Holloway and Bedford New College
10007837,2014/15,total,All,805,Royal Northern College of Music
10007779,2014/15,total,All,2145,The Royal Veterinary College
10007803,2014/15,total,All,10660,The University of St. Andrews
10007839,2014/15,total,All,915,SAE Education Limited
10007782,2014/15,total,All,5505,"St George's, University of London"
10008026,2014/15,total,All,1155,St Mary's University College
10007843,2014/15,total,All,5335,"St Mary's University, Twickenham"
10007156,2014/15,total,All,18920,The University of Salford
10008362,2014/15,total,All,1540,London School of Science and Technology Limited
10007780,2014/15,total,All,5910,SOAS University of London
10005700,2014/15,total,All,1615,SRUC
10005790,2014/15,total,All,31530,Sheffield Hallam University
10007157,2014/15,total,All,27195,The University of Sheffield
10005916,2014/15,total,All,75,Slough Borough Council
10007158,2014/15,total,All,23795,The University of Southampton
10006022,2014/15,total,All,11305,Southampton Solent University
10006299,2014/15,total,All,17735,University of Staffordshire
10007804,2014/15,total,All,11100,The University of Stirling
10037449,2014/15,total,All,2420,University of St Mark and St John
10008010,2014/15,total,All,1555,Stranmillis University College
10022944,2014/15,total,All,245,Stratford College London (SCL)
10007805,2014/15,total,All,21210,The University of Strathclyde
10014001,2014/15,total,All,5060,University of Suffolk
10007159,2014/15,total,All,13695,The University of Sunderland
10007160,2014/15,total,All,14300,The University of Surrey
10007806,2014/15,total,All,13535,The University of Sussex
10007855,2014/15,total,All,16020,Swansea University
10032299,2014/15,total,All,1200,Tech Music Schools
10007161,2014/15,total,All,17920,Teesside University
10037822,2014/15,total,All,95,Tottenham Hotspur Foundation
10008017,2014/15,total,All,960,Trinity Laban Conservatoire of Music and Dance
10007858,2014/15,total,All,10425,University of Wales Trinity Saint David
10007114,2014/15,total,All,7850,University of the Highlands and Islands
10007807,2014/15,total,All,26085,Ulster University
10039956,2014/15,total,All,485,The University of Law
10007784,2014/15,total,All,29945,University College London
10007793,2014/15,total,All,27710,University of South Wales
10008574,2014/15,total,All,5,The University of Wales (central functions)
10007163,2014/15,total,All,23685,The University of Warwick
10007164,2014/15,total,All,26670,"University of the West of England, Bristol"
10007800,2014/15,total,All,14730,The University of the West of Scotland
10006566,2014/15,total,All,10490,The University of West London
10007165,2014/15,total,All,20465,The University of Westminster
10003614,2014/15,total,All,7485,The University of Winchester
10023290,2014/15,total,All,1060,West London College of Business and Management Sciences Limited
10007166,2014/15,total,All,19065,The University of Wolverhampton
10007139,2014/15,total,All,10065,University of Worcester
10007833,2014/15,total,All,6765,Wrexham University
10007657,2014/15,total,All,760,Writtle University College
10007713,2014/15,total,All,6550,York St John University
10007167,2014/15,total,All,16835,The University of York
10008071,2015/16,total,All,470,AA School of Architecture
10007783,2015/16,total,All,14000,The University of Aberdeen
10019746,2015/16,total,All,70,ABI College Limited
10007849,2015/16,total,All,4005,Abertay University
10007856,2015/16,total,All,8755,Aberystwyth University
10000080,2015/16,total,All,70,Access to Music Limited
10000248,2015/16,total,All,185,Academy of Live and Recorded Arts
10000291,2015/16,total,All,20935,Anglia Ruskin University
10041898,2015/16,total,All,50,Apex College
10005451,2015/16,total,All,1835,Arden University
10000381,2015/16,total,All,245,Arts Educational Schools
10007759,2015/16,total,All,12475,Aston University
10007857,2015/16,total,All,10630,Bangor University
10000571,2015/16,total,All,7630,Bath Spa University
10007850,2015/16,total,All,16155,The University of Bath
10007152,2015/16,total,All,14400,University of Bedfordshire
10005343,2015/16,total,All,23870,Queen's University Belfast
10037544,2015/16,total,All,4365,BIMM University
10007760,2015/16,total,All,12245,Birkbeck College
10007140,2015/16,total,All,24065,Birmingham City University
10006840,2015/16,total,All,33830,The University of Birmingham
10000712,2015/16,total,All,5025,University College Birmingham
10007832,2015/16,total,All,2810,Birmingham Newman University
10000894,2015/16,total,All,30,Bristol Baptist College
10004061,2015/16,total,All,1340,Bloomsbury Institute
10000385,2015/16,total,All,3240,The Arts University Bournemouth
10000824,2015/16,total,All,19045,Bournemouth University
10031982,2015/16,total,All,5940,BPP University
10007785,2015/16,total,All,11215,The University of Bradford
10000886,2015/16,total,All,21135,The University of Brighton
10007786,2015/16,total,All,21905,The University of Bristol
10028216,2015/16,total,All,565,Brit College
10023464,2015/16,total,All,80,Trinity College Bristol
10000961,2015/16,total,All,14165,Brunel University London
10000975,2015/16,total,All,8580,Buckinghamshire New University
10008173,2015/16,total,All,1100,University of the Built Environment
10007787,2015/16,total,All,2400,The University of Buckingham
10022021,2015/16,total,All,945,UK College of Business and Computing
10041974,2015/16,total,All,55,London College of Business Sciences
10010308,2015/16,total,All,75,Cambridge Arts and Sciences Limited
10007788,2015/16,total,All,19660,The University of Cambridge
10032072,2015/16,total,All,160,The Cambridge Theological Federation
10003324,2015/16,total,All,275,The Institute of Cancer Research
10001143,2015/16,total,All,16055,Canterbury Christ Church University
10007814,2015/16,total,All,30675,Cardiff University
10007854,2015/16,total,All,12580,Cardiff Metropolitan University
10007848,2015/16,total,All,14915,University of Chester
10007137,2015/16,total,All,5520,The University of Chichester
10001386,2015/16,total,All,85,Chicken Shed Theatre Company
10001546,2015/16,total,All,205,The College of Integrated Chinese Medicine
10001419,2015/16,total,All,35,Christie's Education Limited
10010213,2015/16,total,All,320,The City College
10001478,2015/16,total,All,18995,"City St George's, University of London"
10007912,2015/16,total,All,85,Cliff College
10013357,2015/16,total,All,870,The Academy of Contemporary Music
10001653,2015/16,total,All,1310,Conservatoire for Dance and Drama
10007761,2015/16,total,All,505,Courtauld Institute of Art
10034324,2015/16,total,All,30,Court Theatre Training Company Ltd
10001726,2015/16,total,All,29430,Coventry University
10007822,2015/16,total,All,3980,Cranfield University
10006427,2015/16,total,All,4805,University for the Creative Arts
10007842,2015/16,total,All,8790,University of Cumbria
10001883,2015/16,total,All,20905,De Montfort University
10007851,2015/16,total,All,16300,University of Derby
10007852,2015/16,total,All,14910,The University of Dundee
10007143,2015/16,total,All,17810,University of Durham
10007789,2015/16,total,All,16145,The University of East Anglia
10007144,2015/16,total,All,13630,The University of East London
10032282,2015/16,total,All,235,The Queen's Foundation for Ecumenical Theological Education
10007823,2015/16,total,All,15540,Edge Hill University
10007772,2015/16,total,All,12585,Edinburgh Napier University
10007790,2015/16,total,All,30355,The University of Edinburgh
10022047,2015/16,total,All,130,Empire College London Limited
10042570,2015/16,total,All,235,Escape Studios
10007791,2015/16,total,All,13795,The University of Essex
10002113,2015/16,total,All,360,East End Computing and Business College Limited
10008229,2015/16,total,All,560,EThames Graduate School Limited
10007792,2015/16,total,All,21670,The University of Exeter
10008640,2015/16,total,All,4655,Falmouth University
10033187,2015/16,total,All,585,Fairfield School of Business Ltd
10045476,2015/16,total,All,175,Met Film School Limited
10004511,2015/16,total,All,240,The National Film and Television School
10038763,2015/16,total,All,180,ForMission Ltd
10022087,2015/16,total,All,315,Futureworks
10007762,2015/16,total,All,16580,Glasgow Caledonian University
10002681,2015/16,total,All,2060,Glasgow School of Art
10007794,2015/16,total,All,27220,The University of Glasgow
10007145,2015/16,total,All,7835,University of Gloucestershire
10002718,2015/16,total,All,8525,Goldsmiths College
10002735,2015/16,total,All,360,Grafton College
10006841,2015/16,total,All,6320,University of Greater Manchester
10007146,2015/16,total,All,20645,The University of Greenwich
10007937,2015/16,total,All,6860,GSM London
10007825,2015/16,total,All,930,Guildhall School of Music and Drama
10040812,2015/16,total,All,5575,Harper Adams University
10007764,2015/16,total,All,10460,Heriot-Watt University
10007147,2015/16,total,All,24655,University of Hertfordshire
10007765,2015/16,total,All,560,Heythrop College
10007148,2015/16,total,All,19270,The University of Huddersfield
10007149,2015/16,total,All,16305,The University of Hull
10003239,2015/16,total,All,1260,ICON College of Technology and Management
10003270,2015/16,total,All,17035,"Imperial College of Science, Technology and Medicine"
10035638,2015/16,total,All,700,Institute of Contemporary Music Performance
10029682,2015/16,total,All,30,The Islamic College
10021682,2015/16,total,All,515,Kaplan Open Learning (Essex) Limited
10007767,2015/16,total,All,10120,Keele University
10003566,2015/16,total,All,320,Kensington College of Business
10007150,2015/16,total,All,19670,The University of Kent
10003645,2015/16,total,All,28900,King's College London
10008325,2015/16,total,All,150,KLC School of Design
10003678,2015/16,total,All,20885,Kingston University
10009285,2015/16,total,All,30,Kogan Academy of Dramatic Arts
10007141,2015/16,total,All,24460,University of Lancashire
10007768,2015/16,total,All,13115,The University of Lancaster
10003854,2015/16,total,All,1320,Leeds Arts University
10003861,2015/16,total,All,25920,Leeds Beckett University
10007795,2015/16,total,All,31790,The University of Leeds
10003863,2015/16,total,All,3715,Leeds Trinity University
10007796,2015/16,total,All,16325,The University of Leicester
10007151,2015/16,total,All,13475,The University of Lincoln
10007811,2015/16,total,All,2235,Lincoln Bishop University
10003956,2015/16,total,All,4940,Liverpool Hope University
10003957,2015/16,total,All,21875,Liverpool John Moores University
10003945,2015/16,total,All,720,The Liverpool Institute for Performing Arts
10006842,2015/16,total,All,24775,The University of Liverpool
10003958,2015/16,total,All,425,Liverpool School of Tropical Medicine
10007162,2015/16,total,All,18205,"University of the Arts, London"
10004060,2015/16,total,All,840,London School of Business and Finance (UK) Limited
10013109,2015/16,total,All,140,London Bridge Business Academy
10007769,2015/16,total,All,2075,London Business School
10030391,2015/16,total,All,900,London Churchill College Ltd
10018361,2015/16,total,All,195,City of London College
10007797,2015/16,total,All,195,University of London (Institutes and activities)
10039082,2015/16,total,All,105,City and Guilds of London Art School
10004006,2015/16,total,All,240,London Centre of Contemporary Music
10015506,2015/16,total,All,745,The London College
10004048,2015/16,total,All,12690,London Metropolitan University
10032594,2015/16,total,All,115,London School of Academics Ltd
10004078,2015/16,total,All,17605,London South Bank University
10004063,2015/16,total,All,10440,London School of Economics and Political Science
10007771,2015/16,total,All,1210,London School of Hygiene and Tropical Medicine
10022285,2015/16,total,All,255,London School of Management Education
10004075,2015/16,total,All,180,London School of Theology
10004079,2015/16,total,All,330,London Studio Centre
10000939,2015/16,total,All,210,West London College
10008289,2015/16,total,All,530,The London Institute of Banking & Finance
10004113,2015/16,total,All,16950,Loughborough University
10009612,2015/16,total,All,60,Luther King House Educational Trust
10004180,2015/16,total,All,32485,The Manchester Metropolitan University
10007798,2015/16,total,All,39700,The University of Manchester
10009527,2015/16,total,All,510,Istituto Marangoni Limited
10023452,2015/16,total,All,25,The Markfield Institute of Higher Education
10023453,2015/16,total,All,65,Matrix College of Counselling and Psychotherapy Ltd
10020416,2015/16,total,All,95,Missio Dei
10030776,2015/16,total,All,350,St Mellitus College
10004320,2015/16,total,All,100,The Metanoia Institute
10004351,2015/16,total,All,19110,Middlesex University
10004365,2015/16,total,All,20,Millennium Performing Arts Ltd
10004450,2015/16,total,All,295,Mountview Academy of Theatre Arts
10023777,2015/16,total,All,790,Mont Rose College of Management and Sciences Limited
10023454,2015/16,total,All,195,Moorlands College
10000216,2015/16,total,All,70,All Nations Christian College Limited
10004538,2015/16,total,All,75,Nazarene Theological College
10030129,2015/16,total,All,830,Nelson College London Ltd
10007799,2015/16,total,All,23795,Newcastle University
10045289,2015/16,total,All,35,St Nicholas Montessori Training Limited
10048199,2015/16,total,All,140,Northeastern University London
10008397,2015/16,total,All,215,Norland College
10007138,2015/16,total,All,12985,The University of Northampton
10023130,2015/16,total,All,190,Nova College of Accounting and Business Ltd
10004740,2015/16,total,All,95,Northern College of Acupuncture
10001282,2015/16,total,All,27165,University of Northumbria at Newcastle
10004775,2015/16,total,All,1995,Norwich University of the Arts
10007154,2015/16,total,All,32125,University of Nottingham
10004797,2015/16,total,All,27920,The Nottingham Trent University
10010227,2015/16,total,All,150,Oak Hill College
10004879,2015/16,total,All,1145,Open College of the Arts
10007773,2015/16,total,All,126620,The Open University
10023445,2015/16,total,All,55,ICOM
10004930,2015/16,total,All,17865,Oxford Brookes University
10020439,2015/16,total,All,50,Oxford Business College
10007774,2015/16,total,All,24860,The University of Oxford
10006243,2015/16,total,All,1585,St Patrick's International College
10005127,2015/16,total,All,1200,Arts University Plymouth
10007801,2015/16,total,All,23155,University of Plymouth
10019178,2015/16,total,All,30,Point Blank Music School
10007155,2015/16,total,All,22060,The University of Portsmouth
10005337,2015/16,total,All,5285,"Queen Margaret University, Edinburgh"
10007775,2015/16,total,All,17140,Queen Mary University of London
10005544,2015/16,total,All,130,Royal Academy of Dance
10005389,2015/16,total,All,2190,Ravensbourne University London
10005470,2015/16,total,All,920,"Richmond, The American International University in London"
10007802,2015/16,total,All,14980,The University of Reading
10003331,2015/16,total,All,2015,Regent's University London
10021100,2015/16,total,All,140,Regents Theological College
10008455,2015/16,total,All,895,Regent College London
10005500,2015/16,total,All,12755,Robert Gordon University
10007776,2015/16,total,All,9020,Roehampton University
10005523,2015/16,total,All,760,Rose Bruford College of Theatre and Performance
10007835,2015/16,total,All,760,Royal Academy of Music
10005545,2015/16,total,All,1200,Royal Agricultural University
10007777,2015/16,total,All,1610,Royal College of Art
10007778,2015/16,total,All,810,Royal College of Music
10005561,2015/16,total,All,1080,Royal Conservatoire of Scotland
10007816,2015/16,total,All,1045,The Royal Central School of Speech and Drama
10005553,2015/16,total,All,9985,Royal Holloway and Bedford New College
10007837,2015/16,total,All,905,Royal Northern College of Music
10007779,2015/16,total,All,2290,The Royal Veterinary College
10007803,2015/16,total,All,10745,The University of St. Andrews
10007839,2015/16,total,All,815,SAE Education Limited
10007782,2015/16,total,All,5925,"St George's, University of London"
10008026,2015/16,total,All,1040,St Mary's University College
10007843,2015/16,total,All,5535,"St Mary's University, Twickenham"
10007156,2015/16,total,All,20520,The University of Salford
10021256,2015/16,total,All,55,William Booth College
10008362,2015/16,total,All,1670,London School of Science and Technology Limited
10007780,2015/16,total,All,6070,SOAS University of London
10005700,2015/16,total,All,1580,SRUC
10005790,2015/16,total,All,31485,Sheffield Hallam University
10007157,2015/16,total,All,27925,The University of Sheffield
10053279,2015/16,total,All,95,The Sherwood Institute
10005916,2015/16,total,All,85,Slough Borough Council
10007158,2015/16,total,All,24875,The University of Southampton
10006022,2015/16,total,All,11285,Southampton Solent University
10006093,2015/16,total,All,155,Spurgeon's College
10006299,2015/16,total,All,15855,University of Staffordshire
10007804,2015/16,total,All,11840,The University of Stirling
10037449,2015/16,total,All,2365,University of St Mark and St John
10008010,2015/16,total,All,1440,Stranmillis University College
10022944,2015/16,total,All,385,Stratford College London (SCL)
10007805,2015/16,total,All,21470,The University of Strathclyde
10014001,2015/16,total,All,5030,University of Suffolk
10007159,2015/16,total,All,12995,The University of Sunderland
10007160,2015/16,total,All,15050,The University of Surrey
10007806,2015/16,total,All,15155,The University of Sussex
10007855,2015/16,total,All,17445,Swansea University
10007161,2015/16,total,All,18575,Teesside University
10037822,2015/16,total,All,95,Tottenham Hotspur Foundation
10008017,2015/16,total,All,985,Trinity Laban Conservatoire of Music and Dance
10007858,2015/16,total,All,9930,University of Wales Trinity Saint David
10007114,2015/16,total,All,8415,University of the Highlands and Islands
10007807,2015/16,total,All,25155,Ulster University
10039956,2015/16,total,All,685,The University of Law
10007784,2015/16,total,All,37135,University College London
10007793,2015/16,total,All,25265,University of South Wales
10008574,2015/16,total,All,5,The University of Wales (central functions)
10007163,2015/16,total,All,24665,The University of Warwick
10007361,2015/16,total,All,140,Waverley Abbey College
10007164,2015/16,total,All,27715,"University of the West of England, Bristol"
10007800,2015/16,total,All,15555,The University of the West of Scotland
10032288,2015/16,total,All,30,West Dean College
10006566,2015/16,total,All,10410,The University of West London
10007165,2015/16,total,All,20195,The University of Westminster
10003614,2015/16,total,All,7540,The University of Winchester
10023290,2015/16,total,All,915,West London College of Business and Management Sciences Limited
10007166,2015/16,total,All,19790,The University of Wolverhampton
10007139,2015/16,total,All,10455,University of Worcester
10007833,2015/16,total,All,6660,Wrexham University
10007657,2015/16,total,All,805,Writtle University College
10007713,2015/16,total,All,5980,York St John University
10007167,2015/16,total,All,17155,The University of York
10008071,2016/17,total,All,450,AA School of Architecture
10007783,2016/17,total,All,14150,The University of Aberdeen
10019746,2016/17,total,All,70,ABI College Limited
10007849,2016/17,total,All,3845,Abertay University
10007856,2016/17,total,All,8455,Aberystwyth University
10000080,2016/17,total,All,60,Access to Music Limited
10000248,2016/17,total,All,180,Academy of Live and Recorded Arts
10000291,2016/17,total,All,22500,Anglia Ruskin University
10041898,2016/17,total,All,50,Apex College
10005451,2016/17,total,All,2500,Arden University
10000381,2016/17,total,All,250,Arts Educational Schools
10007759,2016/17,total,All,13610,Aston University
10007857,2016/17,total,All,11270,Bangor University
10000571,2016/17,total,All,7980,Bath Spa University
10007850,2016/17,total,All,16910,The University of Bath
10007152,2016/17,total,All,14000,University of Bedfordshire
10005343,2016/17,total,All,23850,Queen's University Belfast
10037544,2016/17,total,All,4995,BIMM University
10007760,2016/17,total,All,12920,Birkbeck College
10007140,2016/17,total,All,24130,Birmingham City University
10006840,2016/17,total,All,34835,The University of Birmingham
10000712,2016/17,total,All,4935,University College Birmingham
10007832,2016/17,total,All,2830,Birmingham Newman University
10000894,2016/17,total,All,25,Bristol Baptist College
10004061,2016/17,total,All,1280,Bloomsbury Institute
10000385,2016/17,total,All,3315,The Arts University Bournemouth
10000824,2016/17,total,All,20055,Bournemouth University
10031982,2016/17,total,All,6260,BPP University
10007785,2016/17,total,All,10960,The University of Bradford
10000886,2016/17,total,All,21655,The University of Brighton
10000936,2016/17,total,All,470,The University College of Osteopathy
10007786,2016/17,total,All,23590,The University of Bristol
10028216,2016/17,total,All,565,Brit College
10023464,2016/17,total,All,120,Trinity College Bristol
10000961,2016/17,total,All,13130,Brunel University London
10000975,2016/17,total,All,8870,Buckinghamshire New University
10008173,2016/17,total,All,2275,University of the Built Environment
10007787,2016/17,total,All,2520,The University of Buckingham
10022021,2016/17,total,All,955,UK College of Business and Computing
10041974,2016/17,total,All,40,London College of Business Sciences
10010308,2016/17,total,All,85,Cambridge Arts and Sciences Limited
10007788,2016/17,total,All,19955,The University of Cambridge
10032072,2016/17,total,All,185,The Cambridge Theological Federation
10003324,2016/17,total,All,275,The Institute of Cancer Research
10001143,2016/17,total,All,15200,Canterbury Christ Church University
10007814,2016/17,total,All,31595,Cardiff University
10007854,2016/17,total,All,10995,Cardiff Metropolitan University
10007848,2016/17,total,All,15325,University of Chester
10007137,2016/17,total,All,5540,The University of Chichester
10001386,2016/17,total,All,85,Chicken Shed Theatre Company
10001546,2016/17,total,All,180,The College of Integrated Chinese Medicine
10001419,2016/17,total,All,40,Christie's Education Limited
10010213,2016/17,total,All,325,The City College
10001478,2016/17,total,All,19405,"City St George's, University of London"
10007912,2016/17,total,All,65,Cliff College
10013357,2016/17,total,All,1190,The Academy of Contemporary Music
10001653,2016/17,total,All,1375,Conservatoire for Dance and Drama
10007761,2016/17,total,All,495,Courtauld Institute of Art
10034324,2016/17,total,All,40,Court Theatre Training Company Ltd
10001726,2016/17,total,All,31690,Coventry University
10007822,2016/17,total,All,3935,Cranfield University
10006427,2016/17,total,All,6180,University for the Creative Arts
10007842,2016/17,total,All,8635,University of Cumbria
10001883,2016/17,total,All,23205,De Montfort University
10007851,2016/17,total,All,17585,University of Derby
10007852,2016/17,total,All,15390,The University of Dundee
10007143,2016/17,total,All,18385,University of Durham
